"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-17","   30","   40",,,,"0.00",,"0.0","1.0",,"68","18",,"  190",,,,,"19.9",,,,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-18","   40","   30",,,,"0.00",,"0.0","0.0",,"69","36",,"   60",,,,,"23.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-19","  100","  100",,,,"0.00",,"0.0","0.0",,"45","33",,"   10",,,,,"21.9",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-20","  100","  100",,,,"0.43",,"3.8","0.0",,"37","30",,"  110",,,,,"10.1",,,,"    1",,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-21","   60","   60",,,,"0.02",,"0.2","3.0",,"56","30",,"  270",,,,,"17.9",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-22","   50","   50",,,,"0.00",,"0.0","0.0",,"61","35",,"   40",,,,,"17.9",,,,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-23","    0","    0",,,,"0.00",,"0.0","0.0",,"74","34",,"  240",,,,,"17.9",,,,"    1",,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-24","   10","    0",,,,"0.00",,"0.0","0.0",,"80","40",,"  270",,,,,"29.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-25","   10","   10",,,,"0.00",,"0.0","0.0",,"56","33",,"  360",,,,,"33.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-26","   30","   20",,,,"0.00",,"0.0","0.0",,"56","27",,"  140",,,,,"23.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-27","   50","   20",,,,"0.37",,"0.0","0.0",,"64","27",,"  360",,,,,"31.1",,,,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-28","   60","   70",,,,"0.00",,"0.0","0.0",,"47","24",,"  350",,,,,"30.0",,,,,,,,,,,,,,,,,,,,"    1",,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-29","   90","   90",,,,"0.00",,"0.0","0.0",,"59","32",,"  180",,,,,"21.0",,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-30","   50","   40",,,,"0.00",,"0.0","0.0",,"69","37",,"  110",,,,,"17.9",,,,"    1","    1",,,,,,"    1",,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-03-31","  100","  100",,,,"0.00",,"0.0","0.0",,"50","41",,"   60",,,,,"19.9",,,,"    1","    1",,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-01","   60","   70",,,,"0.00",,"0.0","0.0",,"47","29",,"  350",,,,,"25.9",,,,"    1",,,,,,,,,,,,,,"    1",,,,,
